seen_date,state,city,shape,summary,duration,posted_date
,OR,Salem,disk,"Three saucer shaped ships.  High in the sky, metallic but no shine.  Rather dull gray.  They hovered overhead in a V formation.",15 minutes,
,ME,Ellsworth,teardrop,Tear-drop shaped silent craft with sectional front end.,5 minutes,
2017-03-17T02:00:00,MD,Rockville,changing,"Two UFOs over Rockville, MD.  ((anonymous report))  ((NUFORC Note:  Possible sighting of stars, we wonder??  PD))",5,2017-03-17T00:00:00
1996-08-15T02:30:00,MI,Grand Rapids,light,We saw two red dots of apparent unearthly origin.,20 minutes,1998-03-07T00:00:00
2017-04-29T19:05:00,NJ,Fords,other,CAPSULE SHAPED CRAFT RAPIDLY DESCENDS INTO WAREHOUSE PARK.,30 seconds,2017-05-06T00:00:00
2000-09-09T22:30:00,GA,Dahlonega,changing,A stationary bowl shaped object with colored lights.,at least 1 hour,2000-09-17T00:00:00
2015-07-25T01:15:00,,Praia da Vitoria (Azores)(Portugal),other,"I am a police officer in Portugal, Azores, Terceira Island, in the city of Praia da Vitoria. Tonight i was arriving home from my night",30 seconds,2015-07-31T00:00:00
2015-07-25T03:00:00,WA,Tumwater,fireball,Two bright orange lights through the trees.  ((NUFORC Note:  Red lights located on tops of two towers.  PD)),Ongoing,2015-07-31T00:00:00
2015-07-25T10:40:00,IL,Neoga,fireball,Never seen anything like that before. Definitely not a firework. Definitely lasted a good deal of time. It was quite bright. Not a mete,1-2 minutes,2015-07-31T00:00:00
2015-07-25T16:45:00,TX,Hutto,triangle,The photo I took had a total of three objects.,5 minutes,2015-07-31T00:00:00
2015-07-25T18:40:00,AZ,Tempe,light,Lights over North Tempe.,5 minutes,2015-07-31T00:00:00
2015-07-25T18:42:00,VA,Hampton,light,2 white dots in the eastern sky higher than 35k feet.,25 minutes,2015-07-31T00:00:00
2015-07-25T20:15:00,MN,Saint Paul,rectangle,"One larger object, w/ 4 smaller obj.s hovering nearby.  The 4 smaller units disappeared up into clouds.",30 minutes,2015-07-31T00:00:00
2015-07-25T20:30:00,WV,Wayne,unknown,I saw a silver orb.,3 minutes,2015-07-31T00:00:00
2015-07-25T21:07:00,WI,Milwaukee,unknown,Object moving downward with orange glow then suddenly disappeared.,2 minutes,2015-07-31T00:00:00
2015-07-25T21:00:00,WI,Milwaukee,sphere,"Flaming object split into 5 blue orbs, formed a trapeziod then disappeared.",3 minutes,2015-07-31T00:00:00
2000-09-10T19:10:00,IL,Chicago,other,Black object hovering across the sky.,5 min.,2000-09-17T00:00:00
2015-07-25T21:45:00,CA,Salinas,light,There's a blue light inside of the clouds and marine layer. The blue light is inside of the clouds only in one space glowing.,1 hour +,2015-07-31T00:00:00
2015-07-25T21:50:00,NY,Merrick,light,"Silent red light moved across the sky from south to north, changed course, and went off to the northwest.",1-2 minutes,2015-07-31T00:00:00
2015-09-02T17:00:00,NC,Graham,cross,"White, cross-shaped, object, followed by a dark oval shaped object.",2 minutes,2015-09-02T00:00:00
2015-07-31T20:40:00,CA,Coalinga,light,Very bright as compared to star background.  Definitely not an airplane; too fast no flashing lights.  Traveled about 110 deg arc.,5 minutes,2015-08-06T00:00:00
2015-07-31T21:00:00,NY,Auburn,fireball,"Orange flaming ball of fire, flying west to east, with no sound or navigation lights.",30 seconds,2015-08-06T00:00:00
2015-07-31T21:00:00,IL,Woodstock,circle,"My husband and I saw a round, orange object travel in a straight southerly direction then it got smaller and disappeared.",3-4 minutes,2015-08-06T00:00:00
2015-07-31T21:00:00,ME,Windham,light,"Very bright object observed in Maine, quite high & distant, moving very steadily across sky, covering a great distance.",5 minutes,2015-08-06T00:00:00
2015-07-31T21:00:00,NJ,Somerville,unknown,"3 objects with lights, spotted in triangular formation while driving on RT 287.",15 minutes,2015-08-06T00:00:00
2015-07-31T21:00:00,IL,Johnsburg,oval,"Slow, Low, from Northwest to Southeast, vertical unblinking lights, then disappeared.",1 minute,2015-08-06T00:00:00
2015-07-31T21:30:00,OR,Bend,light,I witnessed a object with a bright light come from the south and moved East disappearing. It had a bright white light that appeared bri,1 minute,2015-08-06T00:00:00
2000-09-10T20:30:00,OK,Edmond,light,I saw what looked like a shooting star and noticed the head of the light was shaped in a perfect triangle,30 seconds,2000-09-17T00:00:00
2015-07-31T21:34:00,OR,Bandon,circle,Daughter and I were sitting in her room and heard this super loud firecracker yet metallic metal steel drum boom kind of sound outside.,3 minutes,2015-08-06T00:00:00
2015-07-31T21:45:00,IL,Frankfort,circle,"One adult male and adult female witnessed 6 crafts, one orange the others orange, went from flew overhead and blinked out one by one.",5 minutes,2015-08-06T00:00:00
2015-07-31T21:35:00,NJ,Edison,light,"White light, almost like a star.",<1 minute,2015-08-06T00:00:00
2015-07-31T21:45:00,CT,Suffield,light,"Seemed like planet or bright star (white light), but then moved around in small area.",45 minutes +,2015-08-06T00:00:00
2015-07-31T21:56:00,NH,Salem,light,Light High.,15 seconds,2015-08-06T00:00:00
2015-07-25T22:00:00,CO,Broomfield,changing,Iridescent dots meandering through the sky in various formations.,5 minutes,2015-07-31T00:00:00
2015-07-25T22:30:00,CA,Irvine,triangle,Hovering craft with red and green blinking lights.  Hovers for a minute and then moved to a new spot.,5 minutes,2015-07-31T00:00:00
2015-07-25T23:00:00,MI,Muskegon,light,Mysterious single bright light flashes over West Michigan.,~30 seconds,2015-07-31T00:00:00
2015-07-25T23:02:00,CA,Antelope,flash,"Craft had 3 parts. Round flashing large object. Hovered silently for about 15 minutes then slowly moved south, until it disappeared beh",15 minutes,2015-07-31T00:00:00
2015-07-26T00:05:00,,Redhill (UK/England),circle,A luminous red sphere with red halo effect hanging still in black night sky; eighth the size of the moon.,3minutes,2015-07-31T00:00:00
2000-09-10T21:00:00,CO,Denver,triangle,triangle object withred lights on points and white light in center,2 minutes,2000-09-17T00:00:00
2015-07-26T01:00:00,FL,Spring Hill,other,"Nightly activities hovering in the sky,A sphere UFO with beautiful lights that change colors but remain green a few of them get togethe",All night,2015-07-31T00:00:00
2015-07-26T01:45:00,NY,New York,fireball,"4 orange colored balls, moving from south to east. glided low and took off and disappeared in 2 mins.  There was helicopter activity 30",2 minutes,2015-07-31T00:00:00
2015-07-26T08:15:00,CA,Whittier,,"Saw 3 round object with red bright lights. They were moving lightly, then all of the sudden they took off.",2 minutes,2015-07-31T00:00:00
2015-07-26T03:00:00,NY,Alden,light,Satelite looking objects moving unintelligibly with shocking ability to change direction and stop.,2.5-3 hours,2015-07-31T00:00:00
2015-07-26T13:00:00,,Johannesburg (South Africa),sphere,"Report of 50+ balls of light and 2-3 Massive ships appearing in South Africa, above Johannesburg.",">5 hours, and continu",2015-07-31T00:00:00
2015-07-26T18:30:00,CO,Broomfield,circle,Circular ferris wheel object with bright lights moving across the sky.,4 minutes,2015-07-31T00:00:00
2015-07-26T20:35:00,FL,Cutler Bay,oval,Round light moving across the sky . hovered and changed colors,15 minutes,2015-07-31T00:00:00
2015-07-31T22:00:00,MN,Richmond,flash,"Looking S near Richmond, MN.  It was a horizontal flash, larger than a jet in three separate jagged lines...not lightning.",2 seconds,2015-08-06T00:00:00
